Any,Mes,Percentatge_embassat,Volum_embassat_(hm3),Provincia,Codi_comarca,Comarcas,Poblacio,Domestic_xarxa,Activitats_propies,Consumo_Anual,Consum_personal_anual,Consumo_mensual,NumComarcas,Consum_per_capita
2012,4,88,1828,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5552193,18871745,11661903,366403787,1275,30533648,11,115
2012,4,87,3982,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746562,3314284,2958479,75273167,986,6272763,7,140
2012,4,80,1933,Lleida,"4, 5, 15, 18, 23, 25, 26, 27, 32, 33, 35, 38, 39","(ALT URGELL, L'),(ALTA RIBAGORÇA, L'),(CERDANYA, LA),(GARRIGUES, LES),(NOGUERA, LA),(PALLARS JUSSÀ, EL),(PALLARS SOBIRÀ, EL),(PLA D'URGELL, EL),(SEGARRA, LA),(SEGRIÀ, EL),(SOLSONÈS, EL),(URGELL, L'),(VAL D'ARAN, LA)",457954,1801925,1836097,43656270,1985,3638022,13,152
2012,4,72,212,Tarragona,"1, 8, 9, 12, 16, 22, 29, 30, 36, 37","(ALT CAMP, L'),(BAIX CAMP, EL),(BAIX EBRE, EL),(BAIX PENEDÈS, EL),(CONCA DE BARBERÀ, LA),(MONTSIÀ, EL),(PRIORAT, EL),(RIBERA D'EBRE, LA),(TARRAGONÈS, EL),(TERRA ALTA)",814199,3477661,5549392,108324647,1235,9027053,10,123
2012,5,90,1979,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5552193,18871745,11661903,366403787,1275,30533648,11,115
2012,5,86,4119,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746562,3314284,2958479,75273167,986,6272763,7,140
2012,5,88,2190,Lleida,"4, 5, 15, 18, 23, 25, 26, 27, 32, 33, 35, 38, 39","(ALT URGELL, L'),(ALTA RIBAGORÇA, L'),(CERDANYA, LA),(GARRIGUES, LES),(NOGUERA, LA),(PALLARS JUSSÀ, EL),(PALLARS SOBIRÀ, EL),(PLA D'URGELL, EL),(SEGARRA, LA),(SEGRIÀ, EL),(SOLSONÈS, EL),(URGELL, L'),(VAL D'ARAN, LA)",457954,1801925,1836097,43656270,1985,3638022,13,152
2012,5,79,228,Tarragona,"1, 8, 9, 12, 16, 22, 29, 30, 36, 37","(ALT CAMP, L'),(BAIX CAMP, EL),(BAIX EBRE, EL),(BAIX PENEDÈS, EL),(CONCA DE BARBERÀ, LA),(MONTSIÀ, EL),(PRIORAT, EL),(RIBERA D'EBRE, LA),(TARRAGONÈS, EL),(TERRA ALTA)",814199,3477661,5549392,108324647,1235,9027053,10,123
2012,6,91,1997,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5552193,18871745,11661903,366403787,1275,30533648,11,115
2012,6,80,3662,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746562,3314284,2958479,75273167,986,6272763,7,140
2012,6,93,2241,Lleida,"4, 5, 15, 18, 23, 25, 26, 27, 32, 33, 35, 38, 39","(ALT URGELL, L'),(ALTA RIBAGORÇA, L'),(CERDANYA, LA),(GARRIGUES, LES),(NOGUERA, LA),(PALLARS JUSSÀ, EL),(PALLARS SOBIRÀ, EL),(PLA D'URGELL, EL),(SEGARRA, LA),(SEGRIÀ, EL),(SOLSONÈS, EL),(URGELL, L'),(VAL D'ARAN, LA)",457954,1801925,1836097,43656270,1985,3638022,13,152
2012,6,72,210,Tarragona,"1, 8, 9, 12, 16, 22, 29, 30, 36, 37","(ALT CAMP, L'),(BAIX CAMP, EL),(BAIX EBRE, EL),(BAIX PENEDÈS, EL),(CONCA DE BARBERÀ, LA),(MONTSIÀ, EL),(PRIORAT, EL),(RIBERA D'EBRE, LA),(TARRAGONÈS, EL),(TERRA ALTA)",814199,3477661,5549392,108324647,1235,9027053,10,123
2012,7,88,1961,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5552193,18871745,11661903,366403787,1275,30533648,11,115
2012,7,65,3144,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746562,3314284,2958479,75273167,986,6272763,7,140
2012,7,91,2256,Lleida,"4, 5, 15, 18, 23, 25, 26, 27, 32, 33, 35, 38, 39","(ALT URGELL, L'),(ALTA RIBAGORÇA, L'),(CERDANYA, LA),(GARRIGUES, LES),(NOGUERA, LA),(PALLARS JUSSÀ, EL),(PALLARS SOBIRÀ, EL),(PLA D'URGELL, EL),(SEGARRA, LA),(SEGRIÀ, EL),(SOLSONÈS, EL),(URGELL, L'),(VAL D'ARAN, LA)",457954,1801925,1836097,43656270,1985,3638022,13,152
2012,7,63,191,Tarragona,"1, 8, 9, 12, 16, 22, 29, 30, 36, 37","(ALT CAMP, L'),(BAIX CAMP, EL),(BAIX EBRE, EL),(BAIX PENEDÈS, EL),(CONCA DE BARBERÀ, LA),(MONTSIÀ, EL),(PRIORAT, EL),(RIBERA D'EBRE, LA),(TARRAGONÈS, EL),(TERRA ALTA)",814199,3477661,5549392,108324647,1235,9027053,10,123
2012,8,81,1716,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5552193,18871745,11661903,366403787,1275,30533648,11,115
2012,8,53,2705,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746562,3314284,2958479,75273167,986,6272763,7,140
2012,8,84,2095,Lleida,"4, 5, 15, 18, 23, 25, 26, 27, 32, 33, 35, 38, 39","(ALT URGELL, L'),(ALTA RIBAGORÇA, L'),(CERDANYA, LA),(GARRIGUES, LES),(NOGUERA, LA),(PALLARS JUSSÀ, EL),(PALLARS SOBIRÀ, EL),(PLA D'URGELL, EL),(SEGARRA, LA),(SEGRIÀ, EL),(SOLSONÈS, EL),(URGELL, L'),(VAL D'ARAN, LA)",457954,1801925,1836097,43656270,1985,3638022,13,152
2012,8,53,164,Tarragona,"1, 8, 9, 12, 16, 22, 29, 30, 36, 37","(ALT CAMP, L'),(BAIX CAMP, EL),(BAIX EBRE, EL),(BAIX PENEDÈS, EL),(CONCA DE BARBERÀ, LA),(MONTSIÀ, EL),(PRIORAT, EL),(RIBERA D'EBRE, LA),(TARRAGONÈS, EL),(TERRA ALTA)",814199,3477661,5549392,108324647,1235,9027053,10,123
2012,9,74,1447,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5552193,18871745,11661903,366403787,1275,30533648,11,115
2012,9,46,2352,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746562,3314284,2958479,75273167,986,6272763,7,140
2012,9,76,1826,Lleida,"4, 5, 15, 18, 23, 25, 26, 27, 32, 33, 35, 38, 39","(ALT URGELL, L'),(ALTA RIBAGORÇA, L'),(CERDANYA, LA),(GARRIGUES, LES),(NOGUERA, LA),(PALLARS JUSSÀ, EL),(PALLARS SOBIRÀ, EL),(PLA D'URGELL, EL),(SEGARRA, LA),(SEGRIÀ, EL),(SOLSONÈS, EL),(URGELL, L'),(VAL D'ARAN, LA)",457954,1801925,1836097,43656270,1985,3638022,13,152
2012,9,45,141,Tarragona,"1, 8, 9, 12, 16, 22, 29, 30, 36, 37","(ALT CAMP, L'),(BAIX CAMP, EL),(BAIX EBRE, EL),(BAIX PENEDÈS, EL),(CONCA DE BARBERÀ, LA),(MONTSIÀ, EL),(PRIORAT, EL),(RIBERA D'EBRE, LA),(TARRAGONÈS, EL),(TERRA ALTA)",814199,3477661,5549392,108324647,1235,9027053,10,123
2012,10,74,1364,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5552193,18871745,11661903,366403787,1275,30533648,11,115
2012,10,45,2383,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746562,3314284,2958479,75273167,986,6272763,7,140
2012,10,68,1690,Lleida,"4, 5, 15, 18, 23, 25, 26, 27, 32, 33, 35, 38, 39","(ALT URGELL, L'),(ALTA RIBAGORÇA, L'),(CERDANYA, LA),(GARRIGUES, LES),(NOGUERA, LA),(PALLARS JUSSÀ, EL),(PALLARS SOBIRÀ, EL),(PLA D'URGELL, EL),(SEGARRA, LA),(SEGRIÀ, EL),(SOLSONÈS, EL),(URGELL, L'),(VAL D'ARAN, LA)",457954,1801925,1836097,43656270,1985,3638022,13,152
2012,10,46,145,Tarragona,"1, 8, 9, 12, 16, 22, 29, 30, 36, 37","(ALT CAMP, L'),(BAIX CAMP, EL),(BAIX EBRE, EL),(BAIX PENEDÈS, EL),(CONCA DE BARBERÀ, LA),(MONTSIÀ, EL),(PRIORAT, EL),(RIBERA D'EBRE, LA),(TARRAGONÈS, EL),(TERRA ALTA)",814199,3477661,5549392,108324647,1235,9027053,10,123
2012,11,74,1316,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5552193,18871745,11661903,366403787,1275,30533648,11,115
2012,11,50,2432,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746562,3314284,2958479,75273167,986,6272763,7,140
2012,11,67,1614,Lleida,"4, 5, 15, 18, 23, 25, 26, 27, 32, 33, 35, 38, 39","(ALT URGELL, L'),(ALTA RIBAGORÇA, L'),(CERDANYA, LA),(GARRIGUES, LES),(NOGUERA, LA),(PALLARS JUSSÀ, EL),(PALLARS SOBIRÀ, EL),(PLA D'URGELL, EL),(SEGARRA, LA),(SEGRIÀ, EL),(SOLSONÈS, EL),(URGELL, L'),(VAL D'ARAN, LA)",457954,1801925,1836097,43656270,1985,3638022,13,152
2012,11,63,174,Tarragona,"1, 8, 9, 12, 16, 22, 29, 30, 36, 37","(ALT CAMP, L'),(BAIX CAMP, EL),(BAIX EBRE, EL),(BAIX PENEDÈS, EL),(CONCA DE BARBERÀ, LA),(MONTSIÀ, EL),(PRIORAT, EL),(RIBERA D'EBRE, LA),(TARRAGONÈS, EL),(TERRA ALTA)",814199,3477661,5549392,108324647,1235,9027053,10,123
2012,12,74,1318,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5552193,18871745,11661903,366403787,1275,30533648,11,115
2012,12,51,2495,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746562,3314284,2958479,75273167,986,6272763,7,140
2012,12,64,1607,Lleida,"4, 5, 15, 18, 23, 25, 26, 27, 32, 33, 35, 38, 39","(ALT URGELL, L'),(ALTA RIBAGORÇA, L'),(CERDANYA, LA),(GARRIGUES, LES),(NOGUERA, LA),(PALLARS JUSSÀ, EL),(PALLARS SOBIRÀ, EL),(PLA D'URGELL, EL),(SEGARRA, LA),(SEGRIÀ, EL),(SOLSONÈS, EL),(URGELL, L'),(VAL D'ARAN, LA)",457954,1801925,1836097,43656270,1985,3638022,13,152
2012,12,66,188,Tarragona,"1, 8, 9, 12, 16, 22, 29, 30, 36, 37","(ALT CAMP, L'),(BAIX CAMP, EL),(BAIX EBRE, EL),(BAIX PENEDÈS, EL),(CONCA DE BARBERÀ, LA),(MONTSIÀ, EL),(PRIORAT, EL),(RIBERA D'EBRE, LA),(TARRAGONÈS, EL),(TERRA ALTA)",814199,3477661,5549392,108324647,1235,9027053,10,123
2013,1,72,1206,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5541082,18084933,11340617,353106619,1210,29425551,11,110
2013,1,50,2497,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746777,3088224,2889395,71731447,911,5977620,7,130
2013,1,61,1512,Lleida,"4, 5, 15, 18, 23, 25, 26, 27, 32, 33, 35, 38, 39","(ALT URGELL, L'),(ALTA RIBAGORÇA, L'),(CERDANYA, LA),(GARRIGUES, LES),(NOGUERA, LA),(PALLARS JUSSÀ, EL),(PALLARS SOBIRÀ, EL),(PLA D'URGELL, EL),(SEGARRA, LA),(SEGRIÀ, EL),(SOLSONÈS, EL),(URGELL, L'),(VAL D'ARAN, LA)",455613,1735043,1732111,41605856,1991,3467154,13,153
2013,1,66,189,Tarragona,"1, 8, 9, 12, 16, 22, 29, 30, 36, 37","(ALT CAMP, L'),(BAIX CAMP, EL),(BAIX EBRE, EL),(BAIX PENEDÈS, EL),(CONCA DE BARBERÀ, LA),(MONTSIÀ, EL),(PRIORAT, EL),(RIBERA D'EBRE, LA),(TARRAGONÈS, EL),(TERRA ALTA)",810178,3221112,5649979,106453102,1176,8871091,10,117
2013,2,71,1066,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5541082,18084933,11340617,353106619,1210,29425551,11,110
2013,2,48,2127,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746777,3088224,2889395,71731447,911,5977620,7,130
2013,2,58,1317,Lleida,"4, 5, 15, 18, 23, 25, 26, 27, 32, 33, 35, 38, 39","(ALT URGELL, L'),(ALTA RIBAGORÇA, L'),(CERDANYA, LA),(GARRIGUES, LES),(NOGUERA, LA),(PALLARS JUSSÀ, EL),(PALLARS SOBIRÀ, EL),(PLA D'URGELL, EL),(SEGARRA, LA),(SEGRIÀ, EL),(SOLSONÈS, EL),(URGELL, L'),(VAL D'ARAN, LA)",455613,1735043,1732111,41605856,1991,3467154,13,153
2013,2,65,170,Tarragona,"1, 8, 9, 12, 16, 22, 29, 30, 36, 37","(ALT CAMP, L'),(BAIX CAMP, EL),(BAIX EBRE, EL),(BAIX PENEDÈS, EL),(CONCA DE BARBERÀ, LA),(MONTSIÀ, EL),(PRIORAT, EL),(RIBERA D'EBRE, LA),(TARRAGONÈS, EL),(TERRA ALTA)",810178,3221112,5649979,106453102,1176,8871091,10,117
2013,3,80,1582,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5541082,18084933,11340617,353106619,1210,29425551,11,110
2013,3,68,2712,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746777,3088224,2889395,71731447,911,5977620,7,130
2013,3,61,1529,Lleida,"4, 5, 15, 18, 23, 25, 26, 27, 32, 33, 35, 38, 39","(ALT URGELL, L'),(ALTA RIBAGORÇA, L'),(CERDANYA, LA),(GARRIGUES, LES),(NOGUERA, LA),(PALLARS JUSSÀ, EL),(PALLARS SOBIRÀ, EL),(PLA D'URGELL, EL),(SEGARRA, LA),(SEGRIÀ, EL),(SOLSONÈS, EL),(URGELL, L'),(VAL D'ARAN, LA)",455613,1735043,1732111,41605856,1991,3467154,13,153
2013,3,92,254,Tarragona,"1, 8, 9, 12, 16, 22, 29, 30, 36, 37","(ALT CAMP, L'),(BAIX CAMP, EL),(BAIX EBRE, EL),(BAIX PENEDÈS, EL),(CONCA DE BARBERÀ, LA),(MONTSIÀ, EL),(PRIORAT, EL),(RIBERA D'EBRE, LA),(TARRAGONÈS, EL),(TERRA ALTA)",810178,3221112,5649979,106453102,1176,8871091,10,117
2013,4,88,1830,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5541082,18084933,11340617,353106619,1210,29425551,11,110
2013,4,75,2817,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746777,3088224,2889395,71731447,911,5977620,7,130
2013,4,69,1670,Lleida,"4, 5, 15, 18, 23, 25, 26, 27, 32, 33, 35, 38, 39","(ALT URGELL, L'),(ALTA RIBAGORÇA, L'),(CERDANYA, LA),(GARRIGUES, LES),(NOGUERA, LA),(PALLARS JUSSÀ, EL),(PALLARS SOBIRÀ, EL),(PLA D'URGELL, EL),(SEGARRA, LA),(SEGRIÀ, EL),(SOLSONÈS, EL),(URGELL, L'),(VAL D'ARAN, LA)",455613,1735043,1732111,41605856,1991,3467154,13,153
